,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.93,18.42,286.48,93,0,1.5,ZA,1595361700
1,chengde,40.97,117.94,291.23,71,0,0.56,CN,1595361700
2,rikitea,-23.12,-134.97,292.21,63,92,8.64,PF,1595360995
3,hithadhoo,-0.6,73.08,302.0,76,64,4.03,MV,1595361029
4,sitka,57.05,-135.33,287.15,87,90,2.6,US,1595361168
5,cortez,37.35,-108.59,307.15,16,1,5.1,US,1595361701
6,sioux lookout,50.1,-91.92,294.15,52,75,2.6,CA,1595361536
7,saldanha,-33.01,17.94,286.15,87,0,1.0,ZA,1595361169
8,cockburn town,21.46,-71.14,304.15,62,40,6.2,TC,1595361702
9,tasiilaq,65.61,-37.64,282.15,66,20,4.6,GL,1595361702
10,bredasdorp,-34.53,20.04,287.15,87,0,3.6,ZA,1595361702
11,husavik,66.04,-17.34,285.15,71,75,5.7,IS,1595361702
12,port alfred,-33.59,26.89,293.07,30,0,3.79,ZA,1595361703
13,nanortalik,60.14,-45.24,284.21,72,81,7.74,GL,1595361703
14,basoko,1.24,23.62,297.38,73,100,0.19,CD,1595361703
15,aykhal,66.0,111.5,280.15,93,90,4.0,RU,1595361703
16,castro,-24.79,-50.01,293.09,65,3,1.83,BR,1595361704
17,ushuaia,-54.8,-68.3,275.15,85,94,2.06,AR,1595361427
18,zhaodong,46.08,125.98,290.15,82,61,3.0,CN,1595361704
19,mar del plata,-38.0,-57.56,284.26,93,90,7.2,AR,1595361550
20,ilulissat,69.22,-51.1,285.15,50,75,2.6,GL,1595361705
21,meulaboh,4.14,96.13,297.65,89,100,2.42,ID,1595361705
22,longyearbyen,78.22,15.64,283.15,76,75,1.5,SJ,1595361662
23,nogent-le-rotrou,48.33,1.0,295.15,30,0,2.1,FR,1595361705
24,codrington,-38.27,141.97,282.58,80,100,3.01,AU,1595361706
25,karatau,43.17,70.47,297.64,20,22,2.06,KZ,1595361706
26,dikson,73.51,80.55,277.19,94,100,5.92,RU,1595361706
27,williams lake,52.14,-122.14,293.15,64,75,0.36,CA,1595361628
28,hobart,-42.88,147.33,281.15,65,100,5.7,AU,1595361561
29,san patricio,19.22,-104.7,306.15,70,20,5.1,MX,1595361707
30,busselton,-33.65,115.33,287.04,75,5,5.02,AU,1595361707
31,salalah,17.02,54.09,300.15,94,75,2.6,OM,1595361707
32,yellowknife,62.46,-114.35,296.48,73,75,3.1,CA,1595361484
33,nome,64.5,-165.41,285.37,81,90,5.1,US,1595361708
34,hrodna,53.69,23.83,285.45,83,2,3.29,BY,1595361708
35,guerrero negro,27.98,-114.06,298.57,53,6,6.75,MX,1595361708
36,jamestown,42.1,-79.24,299.26,73,40,2.6,US,1595361708
37,grand gaube,-20.01,57.66,293.15,64,82,1.34,MU,1595361708
38,kodiak,57.79,-152.41,294.15,46,1,6.2,US,1595361709
39,bluff,-46.6,168.33,277.04,83,98,1.34,NZ,1595361709
40,bengkulu,-3.8,102.27,298.61,82,99,2.53,ID,1595361709
41,mataura,-46.19,168.86,277.04,83,93,1.34,NZ,1595361709
42,arraial do cabo,-22.97,-42.03,300.15,73,0,4.6,BR,1595361599
43,hilo,19.73,-155.09,300.15,65,1,3.1,US,1595361592
44,bulgan,48.81,103.53,289.32,64,100,0.55,MN,1595361710
45,upernavik,72.79,-56.15,282.72,62,99,0.63,GL,1595361710
46,east london,-33.02,27.91,291.0,45,0,3.44,ZA,1595361426
47,thompson,55.74,-97.86,300.15,36,75,5.1,CA,1595361461
48,xicotencatl,23.02,-98.88,309.26,45,0,4.47,MX,1595361711
49,taoudenni,22.68,-3.98,315.12,9,0,6.05,ML,1595361711
50,saint-augustin,51.23,-58.65,298.57,42,16,6.55,CA,1595361711
51,butaritari,3.07,172.79,300.15,79,100,5.19,KI,1595361712
52,gat,31.61,34.76,299.82,44,0,3.13,IL,1595361605
53,altay,47.87,88.12,287.62,78,100,0.45,CN,1595361712
54,lebu,-37.62,-73.65,285.07,79,100,4.89,CL,1595361712
55,punta arenas,-53.15,-70.92,272.15,92,36,3.6,CL,1595361712
56,susanville,40.42,-120.65,306.15,15,1,2.1,US,1595361713
57,la ronge,55.1,-105.28,297.15,57,40,1.5,CA,1595361459
58,sanming,26.25,117.62,297.98,85,0,0.89,CN,1595361713
59,kavaratti,10.57,72.64,301.43,76,100,5.28,IN,1595361713
60,nassau,40.75,-73.58,306.48,43,1,6.2,US,1595361486
61,nantucket,41.28,-70.1,301.15,54,1,5.1,US,1595361714
62,tilichiki,60.47,166.1,284.87,71,0,0.93,RU,1595361714
63,papillion,41.15,-96.04,302.59,54,75,2.1,US,1595361640
64,raudeberg,61.99,5.14,285.15,71,40,4.6,NO,1595361715
65,matara,5.95,80.54,299.38,87,100,2.03,LK,1595361715
66,ahipara,-35.17,173.17,284.72,77,63,10.17,NZ,1595361715
67,avarua,-21.21,-159.78,297.15,88,38,9.3,CK,1595361636
68,vawkavysk,53.16,24.45,286.58,84,27,3.37,BY,1595361716
69,vila franca do campo,37.72,-25.43,294.15,73,40,3.1,PT,1595361467
70,saint george,37.1,-113.58,311.48,17,20,5.7,US,1595361636
71,goderich,43.75,-81.72,299.82,55,13,3.79,CA,1595361716
72,ancud,-41.87,-73.82,283.15,66,100,4.1,CL,1595361716
73,albany,42.6,-73.97,304.26,41,4,3.76,US,1595361454
74,leh,34.17,77.58,284.16,53,54,3.31,IN,1595361717
75,provideniya,64.38,-173.3,280.15,87,90,3.0,RU,1595361717
76,iqaluit,63.75,-68.51,282.15,87,90,5.1,CA,1595361717
77,huron,41.15,-82.55,302.04,65,0,0.89,US,1595361718
78,torbay,47.67,-52.73,298.71,73,20,9.3,CA,1595361718
79,kaitangata,-46.28,169.85,278.15,64,29,2.68,NZ,1595361718
80,quatre cocos,-20.21,57.76,294.15,60,75,4.6,MU,1595361718
81,consuegra,39.46,-3.61,304.82,27,47,4.1,ES,1595361719
82,new norfolk,-42.78,147.06,280.93,83,100,0.89,AU,1595361719
